video_title,up_name,play_count,danmu_count,like_count,coin_count,favorite_count,publish_time,cover_path
迈克尔杰克逊的billiejean，斗胆跳一段。,特崮斯,4026086,2157,686308,126207,67110,2026-06-14 20:14:31,static\bilibili_video_covers\1_迈克尔杰克逊的billiejean，斗胆跳一段。.jpg
没想到开水也能直接加进肉馅里？这样包子馅里的汤汁反而更多？,品诺美食开课啦,3253135,1524,247351,17401,128946,2026-06-15 19:06:54,static\bilibili_video_covers\2_没想到开水也能直接加进肉馅里？这样包子馅里的汤汁反而更多？.jpg
峰峦叠嶂间，此城何处寻？,鸣潮,2801325,11876,142611,88423,30452,2026-06-15 11:00:00,static\bilibili_video_covers\3_峰峦叠嶂间，此城何处寻？.jpg
《主任你说句话啊》,伤心欲茄222,3080518,1302,270495,4656,13166,2026-06-15 15:39:12,static\bilibili_video_covers\4_《主任你说句话啊》.jpg
你懂白鹿吗？——内娱嘉欣,玉玉__,4326740,11159,248948,51752,59910,2026-06-14 16:16:46,static\bilibili_video_covers\5_你懂白鹿吗？——内娱嘉欣.jpg
看一看早餐的质量怎么样#早餐#食品安全,陈大成bili,4722313,1473,241716,22717,50030,2026-06-13 20:00:00,static\bilibili_video_covers\6_看一看早餐的质量怎么样#早餐#食品安全.jpg
墙那边根本就没有厕所！！,二三哥哥鸭,8166150,2273,614857,26010,109336,2026-06-12 19:13:16,static\bilibili_video_covers\7_墙那边根本就没有厕所！！.jpg
躲在超市后门吸烟的二人《Night Smoker》,清风最梦,2506750,7506,199772,29764,47439,2026-06-14 20:52:56,static\bilibili_video_covers\8_躲在超市后门吸烟的二人《Night Smoker》.jpg
人到底可以多倒霉,喝茶喝到胃痛,1592753,4366,218245,4911,18620,2026-06-13 10:58:07,static\bilibili_video_covers\9_人到底可以多倒霉.jpg
在AI里抛硬币，概率是50%吗？,影视飓风,2470506,3185,179384,23920,26557,2026-06-16 17:00:00,static\bilibili_video_covers\10_在AI里抛硬币，概率是50%吗？.jpg
【i-dle】 'Crow' Official Music Video,i-dle_official,996739,20465,74853,51176,23785,2026-06-14 21:00:00,static\bilibili_video_covers\11_【i-dle】 'Crow' Official Music Video.jpg
杨氏跑刀法,杨齐家_,1700870,4702,106513,13849,17455,2026-06-15 17:00:00,static\bilibili_video_covers\12_杨氏跑刀法.jpg
新三国up锐评神探狄仁杰01：全剧最大的谜团出现了,吃蛋挞的折棒,1148890,15223,86841,67066,17505,2026-06-15 10:00:00,static\bilibili_video_covers\13_新三国up锐评神探狄仁杰01：全剧最大的谜团出现了.jpg
泽连斯基劝降俄罗斯,燕三嘤嘤嘤,2119899,12171,114568,26966,16381,2026-06-15 17:50:00,static\bilibili_video_covers\14_泽连斯基劝降俄罗斯.jpg
开局直接当领主，还送4个全副武装牛马小弟【剑与王国】,磊哥游戏,1125607,2945,130930,13649,20799,2026-06-15 09:00:00,static\bilibili_video_covers\15_开局直接当领主，还送4个全副武装牛马小弟【剑与王国】.jpg
破晓将至，律己则安，终见黎明！,花小龙oy,1803465,1388,163927,7057,6793,2026-06-14 18:46:36,static\bilibili_video_covers\16_破晓将至，律己则安，终见黎明！.jpg
中国的危与机？中美俄欧中东，AI美债美元，混乱世界中|正在发生 ep1 翟东升,王骁Albert,861786,20213,62337,54472,32360,2026-06-14 19:00:00,static\bilibili_video_covers\17_中国的危与机？中美俄欧中东，AI美债美元，混乱世界中_正在发生 ep1 翟东升.jpg
有人把五厘米当成玩笑，有人把它藏在遗憾里。,有Ai-爱制作,1248951,1631,115940,15686,21531,2026-06-15 19:35:00,static\bilibili_video_covers\18_有人把五厘米当成玩笑，有人把它藏在遗憾里。.jpg
【侯绿萝】新作上线，快来看看！,侯绿萝,1838170,576,133684,3223,10050,2026-06-15 12:50:03,static\bilibili_video_covers\19_【侯绿萝】新作上线，快来看看！.jpg
一方水土养一方舞蹈,我的老师有高度,1637951,1271,149643,11774,20588,2026-06-13 08:00:00,static\bilibili_video_covers\20_一方水土养一方舞蹈.jpg
《参加公司大会迟到的我be like》,小蔡在东京,3595048,1669,281844,3278,18695,2026-06-15 19:59:25,static\bilibili_video_covers\21_《参加公司大会迟到的我be like》.jpg
来杯好茶摇一摇,栗川芥,1506510,1376,221327,4284,33985,2026-06-15 18:07:33,static\bilibili_video_covers\22_来杯好茶摇一摇.jpg
10秒速成《NIGHT DANCER》！！学会了吗,野生小叔,1183265,141,168013,4295,80268,2026-06-15 13:52:45,static\bilibili_video_covers\23_10秒速成《NIGHT DANCER》！！学会了吗.jpg
泪…。,無無無鱼子,863561,160,206603,4550,34979,2026-06-16 13:21:52,static\bilibili_video_covers\24_泪…。.jpg
手机扫荡,Y的生存手记,1402070,1336,158406,5871,35406,2026-06-12 18:00:00,static\bilibili_video_covers\25_手机扫荡.jpg
美国“杰斐逊州”在哪里？【神奇组织51】,小约翰可汗,2194972,14733,136460,57316,33492,2026-06-14 11:00:00,static\bilibili_video_covers\26_美国“杰斐逊州”在哪里？【神奇组织51】.jpg
当高考生帮大学生代课：,戚小鱼_,1948319,292,205869,1111,10494,2026-06-14 22:16:26,static\bilibili_video_covers\27_当高考生帮大学生代课：.jpg
把女朋友的人生瞬间做成盲盒送给她,曾文招,717601,718,112537,20824,22704,2026-06-13 17:30:00,static\bilibili_video_covers\28_把女朋友的人生瞬间做成盲盒送给她.jpg
《安宁大厦生存守则》第十集,Fel探险记,1037714,1056,91881,8664,18005,2026-06-15 17:21:46,static\bilibili_video_covers\29_《安宁大厦生存守则》第十集.jpg
【机核独家】《鸣潮》共鸣者「秧秧·玄翎」、「穗穗」演示,机核GCORES,2231927,5899,123253,36057,23285,2026-06-15 17:53:21,static\bilibili_video_covers\30_【机核独家】《鸣潮》共鸣者「秧秧·玄翎」、「穗穗」演示.jpg
有一个人前来踢球,王与也行,1715018,1632,73022,16327,15936,2026-06-14 15:41:02,static\bilibili_video_covers\31_有一个人前来踢球.jpg
【女儿殿下 | 官方MV 】周杰伦 疯疯癫癫 Hey 风度翩翩 Hey 陪我家公主玩变化万千 Hey,杰威尔音乐,1527013,2596,59841,29302,14750,2026-06-15 12:01:21,static\bilibili_video_covers\32_【女儿殿下 _ 官方MV 】周杰伦 疯疯癫癫 Hey 风度翩翩 Hey 陪我家公主玩变化万千 Hey.jpg
孙悟空命格｜心魔六耳CG《自渡》——若此身本是虚妄，又怕什么魂飞魄散？,王者荣耀,1512993,10365,77221,5679,15024,2026-06-15 19:19:40,static\bilibili_video_covers\33_孙悟空命格｜心魔六耳CG《自渡》——若此身本是虚妄，又怕什么魂飞魄散？.jpg
⚡为什么我的电扇不转呢⚡,热爱的芒果宝,1687406,2305,159455,3197,29471,2026-06-14 06:29:39,static\bilibili_video_covers\34_⚡为什么我的电扇不转呢⚡.jpg
第一视角带你体验主播做的最正义的一集,未曾去过须弥山,1473828,5436,187455,37871,15296,2026-06-12 14:17:00,static\bilibili_video_covers\35_第一视角带你体验主播做的最正义的一集.jpg
不同人格打游戏,锤子game,2507210,696,150745,2292,11545,2026-06-16 12:00:00,static\bilibili_video_covers\36_不同人格打游戏.jpg
乘螺舟而至——《太吾绘卷》与中国独立游戏的八年,新华社,2026985,5049,67459,16547,8381,2026-06-16 11:55:00,static\bilibili_video_covers\37_乘螺舟而至——《太吾绘卷》与中国独立游戏的八年.jpg
洗衣机演奏一首《起风了》，以此纪念我的高中生活,非凯J,4699145,4005,293235,61824,64374,2026-06-11 23:28:42,static\bilibili_video_covers\38_洗衣机演奏一首《起风了》，以此纪念我的高中生活.jpg
不是 我咋上高三了,名字即是无,5240906,12637,457188,22318,94373,2026-06-12 21:21:28,static\bilibili_video_covers\39_不是 我咋上高三了.jpg
《女生vs男生》,郑凯伦伦伦,1659348,656,97742,1247,5936,2026-06-15 20:37:31,static\bilibili_video_covers\40_《女生vs男生》.jpg
韩国巴掌战神诞生！一掌扇飞坏学生，打响年度第一爽剧！韩剧《铁拳教育》第一期,小片片说大片,1243565,4703,56157,13257,18975,2026-06-15 18:00:00,static\bilibili_video_covers\41_韩国巴掌战神诞生！一掌扇飞坏学生，打响年度第一爽剧！韩剧《铁拳教育》第一期.jpg
男子孤身驾车进入罗布泊无人区，失踪两年后被人意外找到,神秘园,1694081,5842,70910,8740,14705,2026-06-14 19:00:00,static\bilibili_video_covers\42_男子孤身驾车进入罗布泊无人区，失踪两年后被人意外找到.jpg
🐧当你六套满改猛攻，却被AI吸附一脚踢死🐧,徐Toso,1166565,849,83096,4117,20499,2026-06-14 18:17:39,static\bilibili_video_covers\43_🐧当你六套满改猛攻，却被AI吸附一脚踢死🐧.jpg
全 网 最 燃 的 动 画 教 程 3.0,滑铲师SQsir,1298672,296,73491,6028,30775,2026-06-14 18:03:27,static\bilibili_video_covers\44_全 网 最 燃 的 动 画 教 程 3.0.jpg
剑来！！！！！！,高斯Goh,1213118,7553,86249,38415,21492,2026-06-14 12:00:00,static\bilibili_video_covers\45_剑来！！！！！！.jpg
还挺能装的#情侣日常#抽象#搞笑#骑着小电驴兜风,dong哈哈丶,1910223,1159,120386,1855,11721,2026-06-14 18:03:48,static\bilibili_video_covers\46_还挺能装的#情侣日常#抽象#搞笑#骑着小电驴兜风.jpg
我的脆皮人生be like,是旷世奇柴,2641440,360,170159,1985,9027,2026-06-14 13:18:00,static\bilibili_video_covers\47_我的脆皮人生be like.jpg
